CT	TF	RandomRatio	Training	AUPR	BP_Resolution	Total_GoldStandard_Bins	Precision_at_5%_Recall	Precision_at_10%_Recall	RandomAUPR	log2FC_AUPR_AUPR_Random
MCF-7	ZNF24	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2737675733893543	200	2142	0.5752957464105473	0.5196817906318174	0.0018844751622302614	7.18264498525626
K562	CREB1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6067513846000098	200	4564	0.978739688770232	0.9270792343314082	0.004015286946974283	7.239458593720148
HepG2	USF2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5601031502413563	200	1323	0.970882826656752	0.964132321828669	0.0011639405413775145	8.910531370730576
IMR-90	MXI1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4772111817658028	200	4386	0.7766486763670768	0.7387013093376562	0.003858687236947678	6.950373925654647
GM12878	ESRRA	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2022408958592041	200	813	0.5618873048034133	0.4273458505966638	0.0007152559789417378	8.143399391635375
MCF-7	MAFK	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4364142877924122	200	2149	0.8505914344757627	0.8237931949925098	0.0018906335777931053	7.850684741897053
HepG2	ZNF384	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.475919824417586	200	3276	0.9820775810134444	0.9397985979839304	0.002882138483410988	7.3674350839165745
HepG2	JUN	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1891593460899825	200	2589	0.5937217841944613	0.5418619109206066	0.002277733984600442	6.375858984140071
MCF-7	ATF7	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3426421477685837	200	4094	0.727003529938949	0.6640258580116509	0.0036017933306119	6.571843412942279
A549	FOSL2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5927039058245942	200	3497	0.940675025597978	0.9137432031676233	0.0030765684604664913	7.589845658384688
HepG2	ZBTB40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3977514204096026	200	917	0.9579689348940812	0.8754759418530483	0.0008067524387325629	8.945525333391325
MCF-7	ARID3A	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0137941604733163	200	54	0.0494581828285635	0.0614245600287328	4.750777719908222e-05	8.18167823283406
GM12878	GATAD2B	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4884071461492137	200	8694	0.8067378495750362	0.7262521103530349	0.007648752129052238	5.996716103467782
A549	RFX5	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2357988353148396	200	925	0.5288777217656528	0.5446736813388398	0.0008137906279472417	8.178683211418068
MCF-7	CREB1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5118163049154161	200	7541	0.9401246707056152	0.8902125062319615	0.006634373108486648	6.269522148079203
K562	FOXM1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4138941063693382	200	4513	0.7661610086004914	0.7386439033497024	0.003970418490730705	6.703826816710757
K562	RFX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.599797388177734	200	5437	0.9679461509775183	0.9411610697558608	0.004783329345026112	6.970316301610148
HEK293T	FOXA1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.050801691037512	200	177	0.2251883526250516	0.2048668975421485	0.0001557199363747695	8.349779050276664
MCF-7	CEBPB	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5414271499554117	200	4847	0.9200086493836463	0.8849175576942098	0.004264262890443547	6.98832704080003
HepG2	NFE2L2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5301615199714801	200	1418	1.0003526093088857	0.9476875229872308	0.0012475190383018258	8.73122631791012
SK-N-SH	FOXM1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3096332559798478	200	2667	0.6092053495145952	0.5460737515706795	0.002346356329443561	7.043994496489771
GM12878	PKNOX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5699962663198679	200	8010	0.9781098305468096	0.9423438605159334	0.007046986951197196	6.337802116256308
K562	TCF12	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3956433220066591	200	7555	0.8199837195999468	0.7520418078764095	0.006646689939612337	5.895420540798502
MCF-7	ESRRA	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0042830116608818	200	90	0.0107654959445459	0.0091930541368743	7.917962866513703e-05	5.757352493410403
IMR-90	MAFK	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5484793573171612	200	8334	0.9123354376726448	0.9036295056127874	0.007332033614391689	6.22508011379231
HepG2	ATF7	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2900887221346536	200	6518	0.7946819570220363	0.556003390402166	0.005734364662659591	5.660716746218702
GM12878	ELK1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5497461012745777	200	1598	0.8980081995689198	0.9140790520169918	0.0014058782956320997	8.611149949203718
GM12878	SREBF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1729240227898673	200	864	0.3945863161430822	0.3271481648745172	0.0007601244351853156	7.829686975889104
HepG2	ZBTB33	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0538523171693952	200	342	0.1560086987694423	0.1127039920880812	0.0003008825889275207	7.483663987346981
MCF-7	NRF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6612360224521114	200	1124	0.9665314034580514	0.9420854703091202	0.000988865584662378	9.385175175311012
GM12878	IRF3	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4046268089527056	200	872	0.9154186186479276	0.8132714789877358	0.0007671626243999943	9.042843759898949
GM12878	CUX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0743062034020117	200	275	0.4245766758494031	0.2847095412327611	0.00024193775425458537	8.262702929304616
K562	CUX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1862832380711297	200	2153	0.4842755239240308	0.437942950646544	0.0018941526724004449	6.619801435403795
MCF-7	ZBTB33	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0341871139693131	200	1063	0.0663422822521602	0.0657753874805645	0.0009351993919004518	5.192034835511301
HepG2	FOXA1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3714823583738281	200	1162	0.819796935899197	0.7600670352113098	0.0010222969834321027	8.505335520088876
IMR-90	MAZ	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5376791306834944	200	4572	0.8414204475966715	0.8121455378918747	0.004022325136188961	7.062571962567387
GM12878	NFXL1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0094495697869697	200	421	0.0317258865988582	0.0147818335633872	0.00037038470742247436	4.673152210448385
A549	ESRRA	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1247154497228698	200	352	0.3594001517350573	0.3029527750359999	0.0003096803254458693	8.653644752764384
SK-N-SH	NFIC	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4279892003856061	200	7547	0.7363623063980278	0.6917889538945726	0.006639651750397658	6.010323008557017
IMR-90	BHLHE40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4563633116060492	200	4551	0.8937989953090948	0.8071683128426036	0.004003849889500429	6.832651117221
SK-N-SH	IRF3	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5473498680111715	200	455	0.7935470010285282	0.8499911688590934	0.00040029701158485946	10.417176743078121
HepG2	MNT	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.402343118257709	200	2006	0.7711844062644714	0.6804417762508623	0.001764825945580721	7.832756640615321
IMR-90	NFE2L2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5180722919167305	200	2584	0.9925584313058908	0.9523901190668596	0.002273335116341268	7.832199245649166
GM12878	ZNF24	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3446410904969889	200	3995	0.8025195084325196	0.6803573218043606	0.0035146957390802492	6.61555110650824
MCF-7	FOXK2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0099738886053118	200	111	0.0237158247238473	0.0246300838149035	9.765487535366901e-05	6.674320208453037
GM12878	BHLHE40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6283418790579705	200	9201	0.970469414284197	0.9398469883471764	0.00809479737053251	6.278410961503946
MCF-7	E4F1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1046731589391782	200	405	0.4084205786333446	0.2792547365960064	0.00035630832899311666	8.19854961986821
GM12878	FOXM1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3577245662713243	200	4364	0.6931173563377789	0.6498359666196175	0.003839332216607311	6.541849985039608
GM12878	ZNF384	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5157515716767109	200	2672	0.9111294133148298	0.8846539450932245	0.002350755197702735	7.777408194458773
K562	RFX5	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1628457699969648	200	780	0.5266531713900134	0.4285714285714285	0.0006862234484311876	7.890612106136023
HepG2	NFIC	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3192517086617625	200	3074	0.7252356737448199	0.6698019232844696	0.002704424205740347	6.883229066096427
K562	ZBTB33	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1890641805759632	200	16488	0.220065353089307	0.2383321296889412	0.014505707971453105	3.7041834462043792
HepG2	CEBPB	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5652463602277393	200	2885	0.979900106360469	0.9202872851251748	0.0025381469855435593	7.798960367989626
SK-N-SH	NRF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6360776156249658	200	1987	1.000503271263211	0.9902491230310452	0.0017481102461958588	8.50726283431774
IMR-90	USF2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5549117125319147	200	2967	1.0001685203909674	0.9709457623305168	0.0026102884249940175	7.731905217235801
HEK293T	FOXM1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0693992189797807	200	937	0.1604351918664391	0.1009990117135092	0.00082434791176926	6.39552226864346
HepG2	BHLHE40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4511940671696092	200	3302	0.8831124175510121	0.831784274694693	0.0029050125983586944	7.279059867110941
K562	MAFK	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4987008797022156	200	5788	0.9667501689190492	0.9293407011354784	0.005092129896820146	6.61376171578424
HepG2	ZNF24	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1543233669628357	200	728	0.6796258125891865	0.2978469342105705	0.0006404752185357751	7.912598059177221
SK-N-SH	ZBTB33	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0295217769043488	200	2512	0.0143383838560428	0.0216191520643493	0.002209991413409158	3.7396668899043632
MCF-7	RFX5	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2811837949024363	200	2132	0.6425747447625643	0.6012645987559592	0.0018756774257119128	7.227957903506755
GM12878	ZBTB40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.383902079867758	200	3046	0.889681126287037	0.780153850359852	0.0026797905434889713	7.162474324227544
MCF-7	FOSL2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5478656186363648	200	2812	0.8435235204067862	0.8495486050470658	0.0024739235089596147	7.790877365349745
K562	NFIC	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4869734199128215	200	16591	0.8626690793814645	0.782103755130114	0.014596324657592094	5.0601659784334165
MCF-7	JUN	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3139735275265688	200	961	0.790733689237205	0.6443621227887617	0.0008454624794132966	8.53668647799274
K562	ZNF384	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4639007893860333	200	6270	0.9372004869073536	0.880855651816012	0.005516180797004546	6.3940027478434285
K562	CEBPB	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5967664538791574	200	12762	0.9770367405574768	0.9417773089131304	0.01122767134471643	5.73203579517554
SK-N-SH	MXI1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4276881099434799	200	8654	0.8308363008412418	0.7621497789779492	0.0076135611829788435	5.811843868738852
HepG2	MXI1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5210747457670982	200	3679	0.8395636069606796	0.7927643207257276	0.003236687265100435	7.330828548733893
A549	MAX	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6456422734024507	200	10078	0.9455356308613212	0.9222069240670718	0.008866358863191677	6.186249475553908
MCF-7	SREBF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2228999312779213	200	1785	0.8259192455439532	0.5160857143551091	0.0015703959685252177	7.149123987299645
SK-N-SH	PBX3	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4973697524813448	200	11216	0.7795424288721211	0.7824546724707688	0.009867541278979744	5.655484313193699
K562	JUN	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4890821805298031	200	5829	0.8849243718773728	0.8521960820884322	0.005128200616545375	6.575480389852478
HepG2	FOXK2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2988943097613705	200	1595	0.5798006817389213	0.5001567398119122	0.0014032389746765953	7.734730897548344
A549	PBX3	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2464714307853977	200	1606	0.4910616369324567	0.4894837712883899	0.0014129164848467786	7.446600426247089
K562	NRF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6628288815863952	200	6425	0.9847861102977532	0.977279810318135	0.005652545713038949	6.8735919022382
GM12878	CREM	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5771396752658969	200	6508	0.9395534415905192	0.9053620334128256	0.005725566926141242	6.65535815072806
GM12878	CREB1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5330611751689496	200	5533	0.90570108410639	0.8921901132482873	0.004867787615602258	6.774891075031805
MCF-7	ZNF592	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1468092596798522	200	1210	0.2986300233173574	0.2602150537634408	0.0010645261187201757	7.107587808205375
HEK293T	PKNOX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3468387539026398	200	11341	0.8450111742468045	0.7259987210762074	0.0099775129854591	5.119441044983417
K562	IKZF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3894897570721145	200	16383	0.7391764458605945	0.6870931211409123	0.014413331738010444	4.756109620542954
K562	E4F1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5241021171047934	200	12034	0.8774087188934693	0.8321009137086732	0.010587196126180656	5.629455469723041
HepG2	NRF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5999631236378715	200	4011	0.9805143751622304	0.98300760874719	0.003528772117509607	7.4095637526881575
MCF-7	ELK1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5032587641479778	200	1073	0.8987239562765571	0.8994100123740083	0.0009439971284188005	9.058302205260974
K562	ARID3A	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4102414900086002	200	3798	0.7715301408712575	0.7063569315309276	0.003341380329668783	6.939885391252562
HepG2	ARNT	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0010149678272431	200	31	0.0024523719986212	0.001487038064162	2.7272983206880535e-05	5.217817671404653
HEK293T	BHLHE40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0199749344216426	200	220	0.044	0.0475161987041036	0.0001935502034036683	6.689339132748798
GM12878	YBX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.020069760393292	200	351	0.0361184370594757	0.0306298066274406	0.0003088005517940344	6.022204252132622
HepG2	CREB1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4928708453149583	200	6901	0.9719805301363972	0.9080815565579607	0.006071317971312341	6.343056100871354
HepG2	IRF3	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.238934658096411	200	82	0.7186120789779327	0.503012912482066	7.214143945045819e-05	11.693500305454307
HepG2	ARID3A	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4150313185200633	200	4301	0.7904503995435525	0.7031812417123371	0.0037839064765417155	6.777199965697423
HepG2	MAFK	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5633075713389638	200	7569	0.9312654404970612	0.9120023415295152	0.006659006770738025	6.402472045488729
MCF-7	MAZ	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5428598626281644	200	3928	0.831329399767218	0.7961014316045669	0.0034557509044073143	7.295436779520509
GM12878	MAFK	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4283254660582657	200	953	0.922052413668672	0.856126499961757	0.0008384242901986177	8.99681122560819
HepG2	MAZ	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4710822544032714	200	3030	0.6712219755898894	0.6674008810572687	0.0026657141650596136	7.465313082981174
HCT116	CEBPB	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2569841098494245	200	4633	0.6958582569505811	0.591146576164124	0.0040759913289508875	5.978384363103108
SK-N-SH	FOSL2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6296350536156696	200	6611	0.9649852619688964	0.9231607003459552	0.0058161836122802325	6.75829923717835
K562	ESRRA	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3645420076059124	200	8910	0.6269988188887666	0.6043699567186468	0.007838783237848566	5.53931152954708
MCF-7	YBX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0323659724865559	200	272	0.0608813541173913	0.0888809881426686	0.00023929843329908082	7.079523090843366
A549	USF2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5367020059466756	200	2002	0.9904433777249736	0.9524860420964316	0.0017613068509733816	8.251331195833801
HepG2	IKZF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0002186935754636	200	113	0.0001441774599474	0.0001366776559152	9.941442265733871e-05	1.1373837664568003
